population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
10,50,0.01,0.01,0.01,0.01,8,43,10.1194,0.5599,0.5422,3.16,0.5226,578.2355,1892.8457,3,3
10,50,0.01,0.01,0.01,0.01,8,44,10.5453,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
10,50,0.01,0.01,0.01,0.01,8,45,10.316,0.5599,0.5421,3.18,0.5228,577.9013,1894.0161,3,3
10,50,0.01,0.01,0.01,0.01,8,46,10.1938,0.5599,0.5421,3.18,0.5226,578.5323,1892.2164,3,3
10,50,0.01,0.01,0.01,0.01,12,42,14.0449,0.5599,0.5419,3.21,0.5227,578.5031,1892.2981,3,3
10,50,0.01,0.01,0.01,0.01,12,43,13.481,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,50,0.01,0.01,0.01,0.01,12,44,12.9301,0.5599,0.5419,3.21,0.5226,578.4971,1892.3142,3,3
10,50,0.01,0.01,0.01,0.01,12,45,12.7589,0.5599,0.5419,3.21,0.5228,577.8754,1894.0766,3,3
10,50,0.01,0.01,0.01,0.01,12,46,12.2024,0.5599,0.5421,3.18,0.5227,578.0052,1893.7268,3,3
10,50,0.05,0.05,0.05,0.05,5,42,6.8572,0.5599,0.5419,3.21,0.5227,578.5047,1892.2936,3,3
10,50,0.05,0.05,0.05,0.05,5,43,6.7918,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,50,0.05,0.05,0.05,0.05,5,44,6.7889,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,50,0.05,0.05,0.05,0.05,5,45,6.973,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,50,0.05,0.05,0.05,0.05,5,46,6.7411,0.5599,0.542,3.2,0.5226,578.0556,1893.6,3,3
10,50,0.05,0.05,0.05,0.05,8,42,8.9609,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,50,0.05,0.05,0.05,0.05,8,43,9.0951,0.5599,0.5421,3.18,0.5227,578.0052,1893.7268,3,3
10,50,0.05,0.05,0.05,0.05,8,44,9.1373,0.5599,0.5421,3.18,0.5228,577.9029,1894.0123,3,3
10,50,0.05,0.05,0.05,0.05,8,45,8.8626,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,50,0.05,0.05,0.05,0.05,8,46,9.0591,0.5599,0.5421,3.18,0.5228,578.0218,1893.684,3,3
10,50,0.05,0.05,0.05,0.05,12,42,12.6272,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
10,50,0.05,0.05,0.05,0.05,12,43,12.0226,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,50,0.05,0.05,0.05,0.05,12,44,11.9686,0.5599,0.5421,3.18,0.5227,577.8906,1894.0456,3,3
10,50,0.05,0.05,0.05,0.05,12,45,12.1899,0.5599,0.5421,3.18,0.5227,577.8906,1894.0456,3,3
10,50,0.05,0.05,0.05,0.05,12,46,11.9764,0.5599,0.5421,3.18,0.5227,578.0052,1893.7268,3,3
10,50,0.1,0.1,0.1,0.1,5,42,6.8324,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,50,0.1,0.1,0.1,0.1,5,43,6.7106,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,50,0.1,0.1,0.1,0.1,5,44,6.7296,0.5599,0.542,3.2,0.5228,577.8738,1894.0805,3,3
10,50,0.1,0.1,0.1,0.1,5,45,6.7059,0.5599,0.5419,3.21,0.5228,577.8754,1894.0766,3,3
10,50,0.1,0.1,0.1,0.1,5,46,7.0145,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
